name;address;province;city;pinAddress;phone;latitude;longitude;teamCode
1. AGRES ID JAKARTA;JL. GUNUNG SAHARI RAYA 1  RUKO BLOK A NO. 8  ANCOL, KEC. PADEMANGAN  JAKARTA UTARA 14420;DKI Jakarta;Jakarta Utara;Mangga Dua Square, Ruko Jl. Gn. Sahari No.1 Blok A. 8, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14420;0812-9700-9800;-6.135350805;106.8313541;JKT01-JKT11
2. AGRESKOMPUTER.COM;JL. GUNUNG SAHARI RAYA 1  RUKO BLOK A NO. 1  ANCOL, KEC. PADEMANGAN  JAKARTA UTARA 14420;DKI Jakarta;Jakarta Utara;Mangga Dua Square, Ruko Jl. Gn. Sahari No.1 Blok A. 8, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14420;0821-8080-9090;-6.135350805;106.8313541;JKT05-RAK01
3. AGRESKOMPUTER.COM;JL. MANGGA DUA RAYA  LANTAI LOBBY UTAMA NO. 1  MANGGA DUA SELATAN, KEC. SAWAH BESAR  JAKARTA PUSAT 10730;DKI Jakarta;Jakarta Pusat;Jl. Mangga Dua Raya, RT.17/RW.1'1. Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730;To Be Announced;-6.138936889;106.828707;JKT05-RAK02
4. AGRES ID;JL. PURNAWARMAN 13-15  LANTAI 1 BLOK AC 09  BABAKAN CIAMIS, KEC. SUMUR BANDUNG  JAWA BARAT 40117;Jawa Barat;Bandung;Jl. Purnawarman 13-15 Gedung Bec Lama Lt Lg Blok A 02, Kota Bandung, Jawa Barat 40117;0811-1914-1687;-6.907571723;107.6088219;BDG05-RBA02
5. AGRES ID X INTEL;JL. PURNAWARMAN 13-15  LANTAI 1 BLOK D 01  BABAKAN CIAMIS, KEC. SUMUR BANDUNG  JAWA BARAT 40117;Jawa Barat;Bandung;Jl. Purnawarman 13-15 Gedung Bec Lama Lt Lg Blok A 02, Kota Bandung, Jawa Barat 40118;0811-1997-2604;-6.907571723;107.6088219;BDG05-RBA03
6. AGRES ID;JL. PURNAWARMAN 13-15  LANTAI 1 BLOK S 05-06  BABAKAN CIAMIS, KEC. SUMUR BANDUNG  JAWA BARAT 40117;Jawa Barat;Bandung;Jl. Purnawarman 13-15 Gedung Bec Lama Lt Lg Blok A 02, Kota Bandung, Jawa Barat 40119;0811-9003-4901;-6.907571723;107.6088219;BDG05-RBA04
7. AGRES ID;JL. PURNAWARMAN 13-15  LANTAI 1 BLOK T 09-10   BABAKAN CIAMIS, KEC. SUMUR BANDUNG  JAWA BARAT 40117;Jawa Barat;Bandung;Jl. Purnawarman 13-15 Gedung Bec Lama Lt Lg Blok A 02, Kota Bandung, Jawa Barat 40120;0811-1902-9221;-6.907571723;107.6088219;BDG05-RBA01
8. AGRES ID;JL. PURNAWARMAN 13-15  LANTAI 1 BLOK T 25   BABAKAN CIAMIS, KEC. SUMUR BANDUNG  JAWA BARAT 40117;Jawa Barat;Bandung;Jl. Purnawarman 13-15 Gedung Bec Lama Lt Lg Blok A 02, Kota Bandung, Jawa Barat 40121;0811-9002-9688;-6.907571723;107.6088219;BDG05-RBA05
9. AGRES ID;JL. KH. NOER ALI NO. 177  LANTAI 1 BLOK A10 NO. 11A  KAYURINGIN JAYA, KEC. BEKASI SELATAN  JAWA BARAT 17144;Jawa Barat;Bekasi;Jl. KH. Noer Ali No.177, RT.001/RW.005, Kayuringin Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17144;0811-1914-6067;-6.246386909;106.9914997;BKS05-RBK01
10. GAMER ID;JL. KH. NOER ALI NO. 177  LANTAI 1 BLOK A5 NO. 8  KAYURINGIN JAYA, KEC. BEKASI SELATAN  JAWA BARAT 17144;Jawa Barat;Bekasi;Jl. KH. Noer Ali No.177, RT.001/RW.005, Kayuringin Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17144;0811-9791-0644;-6.246386909;106.9914997;BKS05-RBK02
11. GAMER ID;JL. KH. NOER ALI NO. 177  LANTAI 1 BLOK A1 NO. 8  KAYURINGIN JAYA, KEC. BEKASI SELATAN  JAWA BARAT 17144;Jawa Barat;Bekasi;Jl. KH. Noer Ali No.177, RT.001/RW.005, Kayuringin Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17144;0811-9791-0646;-6.246386909;106.9914997;BKS05-RBK03
12. GAMER ID;JL. KH. NOER ALI NO. 177  LANTAI 1 BLOK A7 NO. 3  KAYURINGIN JAYA, KEC. BEKASI SELATAN  JAWA BARAT 17144;Jawa Barat;Bekasi;Jl. KH. Noer Ali No.177, RT.001/RW.005, Kayuringin Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17144;0811-1902-9536;-6.246386909;106.9914997;BKS05-RBK04
13. AGRES ID;JL. AHMAD YANI NO. 1  LANTAI 1 NO. 39  MARGA JAYA, KEC. BEKASI SELATAN  JAWA BARAT 17144;Jawa Barat;Bekasi;Jl. Ahmad Yani No.'1. RT.004/RW.00'1. Marga Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17141;0811-8112-6767;-6.249329202;106.9925167;BKS05-RMB01
14. AGRES ID;JL. AHMAD YANI NO. 1  LANTAI 1 NO. C16  MARGA JAYA, KEC. BEKASI SELATAN  JAWA BARAT 17144;Jawa Barat;Bekasi;Jl. Ahmad Yani No.'1. RT.004/RW.00'1. Marga Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17141;0811-8112-6768;-6.249329202;106.9925167;BKS05-RMB02
15. AGRES ID X INTEL;JL. RAYA PONDOK GEDE BLOK K7  LANTAI DASAR BLOK B NO. 10  JATIWARINGIN, KEC. PONDOK GEDE  JAWA BARAT 17414;Jawa Barat;Bekasi;Jl. Raya Pd. Gede;0811-1907-9850;-6.283827978;106.9114497;BKS05-RPG01
16. AGRES ID & FONE;JL. RAYA PAJAJARAN NO 23A  BARANANGSIANG, KEC. BOGOR BOGOR;Jawa Barat;Bogor;Jl. Raya Pajajaran No.2'3. RT.05/RW.0'1. Sukasari, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16142;0811-9008-9064;-6.618572969;106.8159463;BGR05-RBP01
17. AGRES ID X INTEL;JL. IR. H. JUANDA NO. 68  2F D11 - 001  PALEDANG, KEC. BOGOR TENGAH  JAWA BARAT 16122;Jawa Barat;Bogor;Jl. Ir. H. Juanda No.68, RT.01/RW.1'3. Paledang, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16122;0811-9003-4899;-6.604541965;106.7958855;BGR05-RBT01
18. AGRES ID;JL. TEGAR BERIMAN NO. 1  LANTAI LG NO. 17A  PAKANSARI, KEC. CIBINONG  JAWA BARAT 16914;Jawa Barat;Bogor;Jl. Tegar Beriman No.'1. Pakansari, Kec. Cibinong, Kabupaten Bogor, Jawa Barat 16914;0811-1902-9223;-6.482568328;106.8426834;BGR05-RCM01
19. GAMER ID LEGION;JL. TEGAR BERIMAN NO. 1  LANTAI LG NO. 21A  PAKANSARI, KEC. CIBINONG  JAWA BARAT 16914;Jawa Barat;Bogor;Jl. Tegar Beriman No.'1. Pakansari, Kec. Cibinong, Kabupaten Bogor, Jawa Barat 16914;0811-1905-1202;-6.482568328;106.8426834;BGR05-RCM02
20. AGRES ID X INTEL;JL. A. YANI NO. 1  LANTAI SEMI DASAR BLOK H NO. 6 & 7  BANTARJATI, KEC. BOGOR UTARA  JAWA BARAT 16153;Jawa Barat;Bogor;Jl. A. Yani No.'1. Bantarjati, Kec. Kota Bogor Utara, Kota Bogor, Jawa Barat 16153;0811-1997-2605;-6.569010301;106.8082014;BGR05-RJD02
21. AGRES ID;JL. AHMAD YANI NO. 6  SUKMAJAYA, KEC. JOMBANG  BANTEN 42426;Banten;Cilegon;Jl. Ahmad Yani Link Priuk No.6;0812-9700-9700;-6.022476015;106.0654996;CLG05-RCL01
22. AGRES ID & FONE;JL. TENTARA PELAJAR NO. 16  KEJAKSAN, KEC. KEJAKSAN  JAWA BARAT 45131;Jawa Barat;Cirebon;Jl. Tentara Pelajar No.16;0811-8114-2697;-6.715321477;108.5562914;CBN05-RCN01
23. AGRES ID X INTEL;JL. ALTERNATIF CIBUBUR NO. 230A  LANTAI 2 NO. F2-29  HARJAMUKTI, KEC. CIMANGGIS  JAWA BARAT 16454;Jawa Barat;Depok;Jl. Alternatif Cibubur No.230 A;0811-1908-7530;-6.375387792;106.901924;DPK05-RCB01
24. AGRES ID;JL. MARGONDA RAYA KM. 4  LANTAI 1 NO. B012 & B015  DEPOK, KEC. PANCORAN MAS  JAWA BARAT 16431;Jawa Barat;Depok;Jl. Margonda, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431;0811-9006-9106;-6.391526597;106.8248466;DPK05-RCD01
25. AGRES ID;JL. MARGONDA RAYA NO. 1  LANTAI 2 BLOK SC2 NO 1-2  PONDOK CINA, KEC. BEJI  JAWA BARAT 16424;Jawa Barat;Depok;Jl. Margonda Raya No.'1. Pondok Cina, Kecamatan Beji, Kota Depok, Jawa Barat 16424;0811-1902-9537;-6.372386791;106.8316154;DPK05-RDT01
26. AGRES ID;JL. MARGONDA RAYA NO. 1  LANTAI 2 BLOK SS31 NO 6-7  PONDOK CINA, KEC. BEJI  JAWA BARAT 16424;Jawa Barat;Depok;Jl. Margonda Raya No.'1. Pondok Cina, Kecamatan Beji, Kota Depok, Jawa Barat 16424;0811-9791-0649;-6.372386791;106.8316154;DPK05-RDT02
27. GAMER ID;JL. MARGONDA RAYA NO. 1  LANTAI 2 BLOK SS32 NO 5-6  PONDOK CINA, KEC. BEJI  JAWA BARAT 16424;Jawa Barat;Depok;Jl. Margonda Raya No.'1. Pondok Cina, Kecamatan Beji, Kota Depok, Jawa Barat 16424;0811-1905-1204;-6.372386791;106.8316154;DPK05-RDT03
28. GAMER ID;JL. MARGONDA RAYA NO. 1  LANTAI 2 BLOK SS31 NO 1-2  PONDOK CINA, KEC. BEJI  JAWA BARAT 16424;Jawa Barat;Depok;Jl. Margonda Raya No.'1. Pondok Cina, Kecamatan Beji, Kota Depok, Jawa Barat 16424;0811-1905-1200;-6.372386791;106.8316154;DPK05-RDT04
29. ASUS LENOVO;JL. MARGONDA RAYA NO. 1  LANTAI 2 BLOK SS32 NO 1-2  PONDOK CINA, KEC. BEJI  JAWA BARAT 16424;Jawa Barat;Depok;Jl. Margonda Raya No.'1. Pondok Cina, Kecamatan Beji, Kota Depok, Jawa Barat 16424;0811-1914-6064;-6.372386791;106.8316154;DPK05-RDT05
30. AGRES ID X INTEL;JL. MARGONDA RAYA NO. 1  LANTAI 2 BlOK SS17 NO 5-6  PONDOK CINA, KEC. BEJI  JAWA BARAT 16424;Jawa Barat;Depok;Jl. Margonda Raya No.'1. Pondok Cina, Kecamatan Beji, Kota Depok, Jawa Barat 16424;0811-1053-8924;-6.372386791;106.8316154;DPK05-RDT06
31. AGRES ID;JL. MARGONDA NO. 56  LANTAI 3 BLOK A NO. 162-164  DEPOK, KEC. PANCORAN MAS  JAWA BARAT 16431;Jawa Barat;Depok;Jl. Margonda No.56, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431;0811-1914-9698;-6.39231504;106.8235181;DPK05-RID01
32. AGRES ID;JL. MARGONDA NO. 56  LANTAI 3 BLOK A NO. 62-63  DEPOK, KEC. PANCORAN MAS  JAWA BARAT 16431;Jawa Barat;Depok;Jl. Margonda No.56, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16432;0811-1918-2729;-6.39231504;106.8235181;DPK05-RID02
33. AGRES ID;JL. MARGONDA NO. 56  LANTAI 3 BLOK A NO. 25-26   DEPOK, KEC. PANCORAN MAS  JAWA BARAT 16431;Jawa Barat;Depok;Jl. Margonda No.56, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16433;0811-1916-4469;-6.39231504;106.8235181;DPK05-RID03
34. AGRES ID;JL. MARGONDA NO. 56  LANTAI 2 ATRIUM 1  DEPOK, KEC. PANCORAN MAS  JAWA BARAT 16431;Jawa Barat;Depok;Jl. Margonda No.56, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16434;0811-1997-2603;-6.39231504;106.8235181;DPK05-RID04
35. AGRES ID;JL. MARGONDA NO. 56  LANTAI 3 ATRIUM 1  DEPOK, KEC. PANCORAN MAS  JAWA BARAT 16431;Jawa Barat;Depok;Jl. Margonda No.56, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16435;0811-9001-7992;-6.39231504;106.8235181;DPK05-RID05
36. AGRES ID X ASUS;JL. PROF. DR. SATRIO  LANTAI 3 NO. 46  KARET KUNINGAN, KEC. SETIABUDI  JAKARTA SELATAN 12920;DKI Jakarta;Jakarta Selatan;Kuningan, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta;0811-1320-6911;-6.223792837;106.826788;JKT05-RAM01
37. AGRES ID X ASUS;JL. PROF. DR. SATRIO  LANTAI 3 NO. 38  KARET KUNINGAN, KEC. SETIABUDI  JAKARTA SELATAN 12920;DKI Jakarta;Jakarta Selatan;Kuningan, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta;0811-1320-6912;-6.223792837;106.826788;JKT05-RAM02
38. AGRES ID X ASUS;JL. PROF. DR. SATRIO  LANTAI 3 NO. 5  KARET KUNINGAN, KEC. SETIABUDI  JAKARTA SELATAN 12920;DKI Jakarta;Jakarta Selatan;Kuningan, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta;0811-1320-6916;-6.223792837;106.826788;JKT05-RAM03
39. AGRES ID X ASUS LENOVO;JL. PROF. DR. SATRIO  LANTAI 2 NO. 40A  KARET KUNINGAN, KEC. SETIABUDI  JAKARTA SELATAN 12920;DKI Jakarta;Jakarta Selatan;Kuningan, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta;0811-1320-6914;-6.223792837;106.826788;JKT05-RAM04
40. GAMER;JL. PROF. DR. SATRIO  LANTAI 3 NO. 61  KARET KUNINGAN, KEC. SETIABUDI  JAKARTA SELATAN 12920;DKI Jakarta;Jakarta Selatan;Kuningan, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta;0811-1320-6915;-6.223792837;106.826788;JKT05-RAM05
41. AGRES ID;JL. PROF. DR. SATRIO  LANTAI 3 NO. 58  KARET KUNINGAN, KEC. SETIABUDI  JAKARTA SELATAN 12920;DKI Jakarta;Jakarta Selatan;Kuningan, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta;0811-1923-8068;-6.223792837;106.826788;JKT05-RAM06
42. GAMER;JL. PROF. DR. SATRIO  LANTAI 1 NO. 68  KARET KUNINGAN, KEC. SETIABUDI  JAKARTA SELATAN 12920;DKI Jakarta;Jakarta Selatan;Kuningan, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta;0811-1320-6917;-6.223792837;106.826788;JKT05-RAM07
43. GAMER;JL. PROF. DR. SATRIO  LANTAI 2 NO. 27  KARET KUNINGAN, KEC. SETIABUDI  JAKARTA SELATAN 12920;DKI Jakarta;Jakarta Selatan;Kuningan, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta;0811-1320-6918;-6.223792837;106.826788;JKT05-RAM08
44. AGRES ID;JL. PROF. DR. SATRIO  LANTAI 1 NO. 63  KARET KUNINGAN, KEC. SETIABUDI  JAKARTA SELATAN 12920;DKI Jakarta;Jakarta Selatan;Kuningan, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta;0811-1320-6919;-6.223792837;106.826788;JKT05-RAM09
45. AGRES ID X INTEL;JL. PROF. DR. SATRIO  LANTAI 3 NO. 8  KARET KUNINGAN, KEC. SETIABUDI  JAKARTA SELATAN 12920;DKI Jakarta;Jakarta Selatan;Kuningan, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta;0811-1905-1201;-6.223792837;106.826788;JKT05-RAM10
46. AGRES ID X AMD;JL. PROF. DR. SATRIO  LANTAI 3 NO. 32  KARET KUNINGAN, KEC. SETIABUDI  JAKARTA SELATAN 12920;DKI Jakarta;Jakarta Selatan;Kuningan, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta;0811-1320-6913;-6.223792837;106.826788;JKT05-RAM11
47. GAMER LEGION;JL. PROF. DR. SATRIO  LANTAI 2 NO. 61-62  KARET KUNINGAN, KEC. SETIABUDI  JAKARTA SELATAN 12920;DKI Jakarta;Jakarta Selatan;Kuningan, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta;0811-1902-9218;-6.223792837;106.826788;JKT05-RAM12
48. AGRES ID;JL. PROF. DR. SATRIO  LANTAI 2 NO. 64  KARET KUNINGAN, KEC. SETIABUDI  JAKARTA SELATAN 12920;DKI Jakarta;Jakarta Selatan;Kuningan, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta;0811-1905-1197;-6.223792837;106.826788;JKT05-RAM13
49. AGRES ID;JL. PROF. DR. SATRIO  LANTAI 1 NO. 9  KARET KUNINGAN, KEC. SETIABUDI  JAKARTA SELATAN 12920;DKI Jakarta;Jakarta Selatan;Kuningan, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta;0811-1914-6065;-6.223792837;106.826788;JKT05-RAM14
50. AGRES ID X INTEL ASUS;JL. PROF. DR. SATRIO  LANTAI 2 NO. 19  KARET KUNINGAN, KEC. SETIABUDI  JAKARTA SELATAN 12920;DKI Jakarta;Jakarta Selatan;Kuningan, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta;0811-1908-7531;-6.223792837;106.826788;JKT05-RAM15
51. AGRES ID X ASUS LENOVO;JL. PROF. DR. SATRIO  LANTAI 3 NO. 65  KARET KUNINGAN, KEC. SETIABUDI  JAKARTA SELATAN 12920;DKI Jakarta;Jakarta Selatan;Kuningan, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta;0811-1927-0382;-6.223792837;106.826788;JKT05-RAM16
52. GAMER;JL. PROF. DR. SATRIO  LANTAI 2 NO. 31  KARET KUNINGAN, KEC. SETIABUDI  JAKARTA SELATAN 12920;DKI Jakarta;Jakarta Selatan;Kuningan, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta;0811-1053-8927;-6.223792837;106.826788;JKT05-RAM17
53. GAMER INTEL;JL. PROF. DR. SATRIO  LANTAI 2 NO. 24  KARET KUNINGAN, KEC. SETIABUDI  JAKARTA SELATAN 12920;DKI Jakarta;Jakarta Selatan;Kuningan, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta;0811-1232-1131;-6.223792837;106.826788;JKT05-RAM18
54. AGRES ID;JL. PROF. DR. SATRIO  LANTAI 3 NO. 68  KARET KUNINGAN, KEC. SETIABUDI  JAKARTA SELATAN 12920;DKI Jakarta;Jakarta Selatan;Kuningan, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta;0811-1053-8926;-6.223792837;106.826788;JKT05-RAM19
55. AGRES ID & FONE;JL. RAYA CONDET NO 2 BATU AMPAR, KEC. KRAMAT JATI JAKARTA TIMUR;DKI Jakarta;Jakarta Timur;Jl. Raya Condet No.2, RT.13/RW.4. Kel. Batu Ampar, Kota, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13520;0811-1971-7435;-6.273071224;106.8571512;JKT05-RCO01
56. GAMER ID ASUS;JL. MAYJEN SUTOYO NO. 76  LANTAI 3A NO. 510C  CILILITAN, KEC. KRAMAT JATI  JAKARTA TIMUR 13640;DKI Jakarta;Jakarta Timur;Pusat Grosir Cililitan, Jl. Mayjen Sutoyo No.76, RT.4/RW.1'1. Cililitan, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13640;08111-3206-910;-6.262171261;106.8652093;JKT05-RGC01
57. AGRES ID;JL. MAYJEN SUTOYO NO. 76  LANTAI 3A NO. 562-563  CILILITAN, KEC. KRAMAT JATI  JAKARTA TIMUR 13640;DKI Jakarta;Jakarta Timur;Pusat Grosir Cililitan, Jl. Mayjen Sutoyo No.76, RT.4/RW.1'1. Cililitan, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13641;0811-1320-6920;-6.262171261;106.8652093;JKT05-RGC02
58. AGRES ID;JL. MAYJEN SUTOYO NO. 76  LANTAI 3A NO. 573C  CILILITAN, KEC. KRAMAT JATI  JAKARTA TIMUR 13640;DKI Jakarta;Jakarta Timur;Pusat Grosir Cililitan, Jl. Mayjen Sutoyo No.76, RT.4/RW.1'1. Cililitan, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13642;0811-1902-9220;-6.262171261;106.8652093;JKT05-RGC03
59. GAMER ID LEGION;JL. MAYJEN SUTOYO NO. 76  LANTAI 3A NO. 511C  CILILITAN, KEC. KRAMAT JATI  JAKARTA TIMUR 13640;DKI Jakarta;Jakarta Timur;Pusat Grosir Cililitan, Jl. Mayjen Sutoyo No.76, RT.4/RW.1'1. Cililitan, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13643;0811-1905-1203;-6.262171261;106.8652093;JKT05-RGC04
60. AGRES ID;JL. MAYJEN SUTOYO NO. 76  LANTAI 3A NO. 703-705  CILILITAN, KEC. KRAMAT JATI  JAKARTA TIMUR 13640;DKI Jakarta;Jakarta Timur;Pusat Grosir Cililitan, Jl. Mayjen Sutoyo No.76, RT.4/RW.1'1. Cililitan, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13644;0811-1254-4421;-6.262171261;106.8652093;JKT05-RGC05
61. GAMER ID INTEL;JL. MAYJEN SUTOYO NO. 76  LANTAI 3A NO. 606-608  CILILITAN, KEC. KRAMAT JATI  JAKARTA TIMUR 13640;DKI Jakarta;Jakarta Timur;Pusat Grosir Cililitan, Jl. Mayjen Sutoyo No.76, RT.4/RW.1'1. Cililitan, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13645;0811-1914-6062;-6.262171261;106.8652093;JKT05-RGC06
